,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
451,Indonesia,Asia,2015,23.2,27.7,175.564,0.08,78,31,23.0,85,78,0.15,3332,258.38,1.4,1.2,7.9,0,1,70.8
1427,Pakistan,Asia,2000,84.6,107.8,188.328,0.015,64,33,22.5,61,62,0.13,1029,142.34,22.2,22.6,3.3,0,1,62.8
1917,Pakistan,Asia,2001,82.6,105.0,186.6995,0.014,64,33,22.6,63,65,0.13,1039,145.98,22.0,22.4,3.5,0,1,63.1
214,Pakistan,Asia,2002,80.9,102.4,185.0715,0.014,64,33,22.7,64,68,0.13,1040,149.55,21.8,22.2,3.8,0,1,63.3
1212,Pakistan,Asia,2003,79.3,100.2,183.668,0.014,63,33,22.8,66,67,0.13,1074,153.09,21.6,22.0,4.0,0,1,63.5
2494,Pakistan,Asia,2004,77.9,98.1,182.265,0.014,65,33,22.9,67,65,0.13,1129,156.66,21.4,21.8,4.3,0,1,63.7
1324,Pakistan,Asia,2005,76.6,96.3,180.861,0.039,65,33,23.0,63,77,0.13,1175,160.3,21.2,21.7,4.5,0,1,64.0
332,Pakistan,Asia,2006,75.4,94.5,179.458,0.034,78,32,23.1,58,78,0.13,1217,164.02,21.0,21.5,4.4,0,1,64.2
348,Pakistan,Asia,2007,74.1,92.7,178.0545,0.034,75,33,23.2,54,75,0.13,1247,167.81,2.8,21.3,4.4,0,1,64.4
2111,Pakistan,Asia,2008,72.8,90.9,175.0925,0.036,65,34,23.2,53,62,0.13,1239,171.65,2.7,21.1,4.4,0,1,64.7
2505,Pakistan,Asia,2009,71.5,89.1,172.1295,0.035,78,30,23.3,52,71,0.13,1246,175.53,2.5,2.9,4.5,0,1,65.0
2242,Pakistan,Asia,2010,70.1,87.1,169.1665,0.04,82,34,23.4,52,82,0.13,1239,179.42,2.2,2.7,4.7,0,1,65.3
104,Pakistan,Asia,2011,68.6,85.0,166.204,0.04,74,38,23.5,63,74,0.13,1246,183.34,2.0,2.4,4.8,0,1,65.6
2613,Pakistan,Asia,2012,67.0,82.8,163.241,0.03,72,42,23.6,64,72,0.13,1262,187.28,19.8,2.2,4.8,0,1,65.8
984,Pakistan,Asia,2013,65.4,80.6,162.208,0.03,72,43,23.7,65,72,0.13,1290,191.26,19.6,2.0,4.9,0,1,66.1
1090,Pakistan,Asia,2014,63.8,78.3,161.1745,0.04,72,48,23.8,69,72,0.13,1323,195.31,19.4,19.8,5.1,0,1,66.4
1010,Pakistan,Asia,2015,62.1,76.0,160.141,0.04,72,54,23.9,72,72,0.13,1357,199.43,19.2,19.6,5.1,0,1,66.6
352,United States,North America,2000,7.1,8.4,113.6425,8.3,90,86,27.5,90,94,0.13,48746,282.16,0.8,0.7,12.7,1,0,76.6
605,United States,North America,2001,7.0,8.3,114.2395,8.25,89,86,27.7,89,94,0.13,48727,284.97,0.8,0.6,12.7,1,0,76.8
1915,United States,North America,2002,6.9,8.2,114.049,8.33,88,86,27.8,90,94,0.13,49095,287.63,0.8,0.6,12.7,1,0,76.9
1208,United States,North America,2003,6.9,8.1,113.733,8.4,92,86,27.9,91,96,0.13,50036,290.11,0.7,0.6,12.8,1,0,77.0
2762,United States,North America,2004,6.8,8.1,111.0145,8.48,92,86,28.0,92,96,0.13,51485,292.81,0.7,0.6,12.8,1,0,77.5
2802,United States,North America,2005,6.7,8.0,111.738,8.55,93,86,28.1,92,96,0.13,52790,295.52,0.7,0.6,12.8,1,0,77.5
2374,United States,North America,2006,6.7,7.9,111.0235,8.63,93,86,28.2,93,96,0.13,53738,298.38,0.7,0.6,12.8,1,0,77.7
1484,United States,North America,2007,6.6,7.7,109.026,8.74,93,86,28.3,93,96,0.13,54300,301.23,0.7,0.6,12.9,1,0,78.0
2337,United States,North America,2008,6.5,7.6,107.758,8.74,94,86,28.4,94,96,0.13,53854,304.09,0.7,0.6,13.2,1,0,78.0
595,United States,North America,2009,6.4,7.5,107.0105,8.67,92,86,28.4,93,95,0.13,51996,306.77,0.7,0.6,13.2,1,0,78.4
2101,United States,North America,2010,6.2,7.3,104.5215,8.56,92,86,28.5,93,95,0.13,52963,309.33,0.7,0.6,13.2,1,0,78.5
968,United States,North America,2011,6.1,7.2,105.032,8.66,91,86,28.6,94,96,0.13,53395,311.58,0.7,0.6,13.3,1,0,78.6
554,United States,North America,2012,6.0,7.1,104.536,8.85,90,86,28.6,93,94,0.13,54213,313.88,0.7,0.6,13.3,1,0,78.7
1936,United States,North America,2013,6.0,7.0,104.681,8.81,91,86,28.7,93,94,0.12,54831,316.06,0.7,0.6,13.2,1,0,78.7
1753,United States,North America,2014,5.9,6.9,105.6355,8.78,92,86,28.8,93,95,0.12,55675,318.39,0.8,0.6,13.3,1,0,78.8
2356,United States,North America,2015,5.8,6.8,107.377,8.78,92,86,28.8,93,95,0.12,56763,320.74,0.8,0.6,13.3,1,0,78.7
